,Recation_time,Mn,Mw,pdi,Dpn,Recation_time_round,add_time,Temperature,mode
6837,6839.73,14921.1,27725.4,1.85814,143.265,6840,0.5,423.15,1
7557,7559.99,15137.7,28332.8,1.87168,145.345,7560,0.5,423.15,1
8277,8280.26,15311.7,28866.2,1.88524,147.016,8280,0.5,423.15,1
8995,8998.54,15458.3,29343.7,1.89825,148.423,8999,0.5,423.15,1
5397,5399.93,13786,28010.2,2.03178,132.367,5400,0.9,423.15,1
6117,6120.1,14221.7,28443.6,2.00002,136.55,6120,0.9,423.15,1
6837,6840.31,14551.8,28853.2,1.98279,139.72,6840,0.9,423.15,1
7556,7559.53,14812,29243,1.97428,142.218,7560,0.9,423.15,1
8276,8279.76,15012,29571.9,1.96989,144.138,8280,0.9,423.15,1
8995,8999.02,15177.3,29857,1.96722,145.725,8999,0.9,423.15,1
5396,5399.92,12697.4,31074.4,2.4473,121.914,5400,1.3,423.15,1
6116,6120.05,13396.7,31048.3,2.31762,128.629,6120,1.3,423.15,1
6836,6840.22,13886.2,31184.5,2.24572,133.329,6840,1.3,423.15,1
7556,7560.41,14246.5,31367.2,2.20175,136.788,7560,1.3,423.15,1
8275,8279.61,14527.4,31557.4,2.17227,139.485,8280,1.3,423.15,1
8994,8998.86,14749.6,31773.7,2.15421,141.619,8999,1.3,423.15,1
5395,5400.25,12504.9,35902.9,2.8711,120.067,5400,1.7,423.15,1
6115,6120.35,12048.8,34589.8,2.87082,115.687,6120,1.7,423.15,1
6835,6840.45,12961.5,33970.2,2.62086,124.45,6840,1.7,423.15,1
7554,7559.61,13555.2,33835.2,2.49611,130.15,7560,1.7,423.15,1
8274,8279.77,13985.7,33854.4,2.42064,134.284,8280,1.7,423.15,1
8993,8998.96,14300.3,33911.4,2.37137,137.305,8999,1.7,423.15,1
5394,5400.32,14282.2,41735.9,2.92224,137.131,5400,2.1,423.15,1
6114,6120.45,13419.7,40213.4,2.99658,128.85,6120,2.1,423.15,1
6833,6839.57,13073.1,38898.4,2.97545,125.522,6840,2.1,423.15,1
7553,7559.68,12427.2,37733.1,3.03632,119.321,7560,2.1,423.15,1
8273,8279.8,13205.6,37137.9,2.81227,126.794,8280,2.1,423.15,1
8992,8998.95,13718.8,36890.2,2.68903,131.721,8999,2.1,423.15,1
5392,5399.97,16547.4,47143.8,2.84901,158.881,5400,2.5,423.15,1
6112,6120.14,15360.5,45253.5,2.9461,147.484,6120,2.5,423.15,1
6832,6840.26,14378.5,43725.1,3.041,138.056,6840,2.5,423.15,1
7552,7560.41,13593,42416.8,3.12049,130.513,7560,2.5,423.15,1
8271,8279.53,13227,41299.5,3.12236,126.999,8280,2.5,423.15,1
8990,8998.64,12633.6,40256.7,3.18648,121.302,8999,2.5,423.15,1
5398,5400.4,14496,49498.8,3.41465,139.184,5400,0.1,433.15,1
6117,6119.77,14677.7,51762.8,3.52663,140.928,6120,0.1,433.15,1
6837,6840.18,14825.7,53778.6,3.6274,142.349,6840,0.1,433.15,1
7556,7559.67,14955.7,55614.6,3.71863,143.597,7560,0.1,433.15,1
8276,8280.16,15066,57291.6,3.8027,144.657,8280,0.1,433.15,1
8994,8998.67,15164,58842.7,3.88041,145.598,8999,0.1,433.15,1
5398,5400.35,14607.9,34190.1,2.34053,140.258,5400,0.5,433.15,1
6117,6119.64,14790.9,35037.7,2.36887,142.015,6120,0.5,433.15,1
6837,6839.99,14936.2,35817.1,2.398,143.411,6840,0.5,433.15,1
7557,7560.34,15049.8,36520.1,2.42661,144.501,7560,0.5,433.15,1
8276,8279.76,15144.1,37148.6,2.453,145.407,8280,0.5,433.15,1
8995,8999.21,15219.5,37719.5,2.47836,146.131,8999,0.5,433.15,1
5397,5399.62,14370.3,35980,2.50377,137.977,5400,0.9,433.15,1
6117,6119.85,14628.8,36419.9,2.4896,140.459,6120,0.9,433.15,1
6837,6840.13,14817.4,36808.3,2.48412,142.27,6840,0.9,433.15,1
7557,7560.45,14964.8,37184.5,2.48479,143.686,7560,0.9,433.15,1
8276,8279.8,15076.9,37538.5,2.4898,144.761,8280,0.9,433.15,1
8995,8999.2,15166.3,37867.4,2.49681,145.62,8999,0.9,433.15,1
5397,5400.31,13656.6,39745.4,2.91034,131.124,5400,1.3,433.15,1
6117,6120.46,14183.3,39734.1,2.80148,136.181,6120,1.3,433.15,1
6836,6839.65,14511.7,39884.1,2.7484,139.335,6840,1.3,433.15,1
7556,7559.88,14741,40093.8,2.71988,141.537,7560,1.3,433.15,1
8276,8280.13,14909.9,40297.9,2.70276,143.158,8280,1.3,433.15,1
8995,8999.45,15034.2,40484.5,2.69282,144.352,8999,1.3,433.15,1
5395,5399.54,13961.6,46961.7,3.36363,134.053,5400,1.7,433.15,1
6115,6119.61,13034.1,45122.1,3.46184,125.148,6120,1.7,433.15,1
6835,6839.72,13893.7,44438.5,3.19845,133.401,6840,1.7,433.15,1
7555,7559.86,14344.4,44269.3,3.08617,137.729,7560,1.7,433.15,1
8275,8280.06,14630,44293.4,3.02757,140.471,8280,1.7,433.15,1
8994,8999.3,14823,44372.8,2.9935,142.324,8999,1.7,433.15,1
5394,5399.92,16121.5,54128.8,3.35756,154.791,5400,2.1,433.15,1
6114,6120.02,15019.4,52064.2,3.46647,144.209,6120,2.1,433.15,1
6834,6840.12,13848.9,50253.8,3.62873,132.97,6840,2.1,433.15,1
7554,7560.21,13314.7,48685.7,3.65653,127.842,7560,2.1,433.15,1
8274,8280.32,14061,47997.5,3.41353,135.007,8280,2.1,433.15,1
8993,8999.49,14468.5,47785.2,3.3027,138.92,8999,2.1,433.15,1
5393,5400.07,17910.4,61871.7,3.45451,171.968,5400,2.5,433.15,1
6113,6120.19,16405,59423.4,3.62228,157.513,6120,2.5,433.15,1
6833,6840.31,15327,57387.2,3.74418,147.163,6840,2.5,433.15,1
7553,7560.42,14448.2,55650.6,3.85172,138.725,7560,2.5,433.15,1
8272,8279.52,14158,54083,3.81995,135.939,8280,2.5,433.15,1
8991,8998.61,13492.8,52690.5,3.90508,129.552,8999,2.5,433.15,1
5353,5399.8,9812.03,12926,1.31736,94.2106,5400,0.1,403.15,1
6066,6120.25,10506.2,13868.8,1.32006,100.875,6120,0.1,403.15,1
6778,6839.69,11142.1,14737.5,1.32268,106.981,6840,0.1,403.15,1
7491,7559.8,11737.5,15553.5,1.32512,112.698,7560,0.1,403.15,1
8204,8280.35,12275.8,16296.4,1.32753,117.866,8280,0.1,403.15,1
8915,8998.79,12770.1,16975.9,1.32935,122.612,8999,0.1,403.15,1
5336,5399.89,10041.1,13351.4,1.32967,96.4103,5400,0.5,403.15,1
6049,6120.23,10739.3,14153,1.31787,103.114,6120,0.5,403.15,1
6762,6840.29,11375,14893.2,1.30929,109.217,6840,0.5,403.15,1
7475,7560.44,11958.1,15589.9,1.3037,114.816,7560,0.5,403.15,1
8187,8279.96,12484.3,16221.8,1.29938,119.868,8280,0.5,403.15,1
